GLPCUN,GLCUN,0.909090909,,,
CHJKUU,CHJKUU,1,,,
PCUAKC,PCJAKC,0.833333333,,,
UHGFHA,UHGFHA,1,,,
BUYPAT,BUYPAT,1,,,121
UXRTXN,UXRTXN,1,,,19
FECLLL,FECLLL,1,,,33
NJGBNY,NJBNY,0.909090909,,,
FHPCEJ,FHVCEJ,0.833333333,,,
YRCNFA,YRCVFA,0.833333333,,,
BFXGYJ,BFXGYJ,1,,,
EBLLFX,EBLLFX,1,,,
NYEKXB,NYEKXB,1,,,
FJPAYB,FJPAYB,1,,,
PRJRUT,PRJRUT,1,,,
JYHBKN,JYHBKN,1,,,
EGHXTX,EGXTX,0.909090909,,,
RPYPNR,RPYPNR,1,,,
PBNNAB,PBNNAB,1,,,
UJCPMY,UJCPMY,1,,,
MMALFY,MMALFY,1,,,
NYGBMH,NYBMH,0.909090909,,,
TEEJKR,TEEJR,0.909090909,,,
BKKPFJ,BKTTPFJ,0.769230769,,,
JRBPHL,JRBPHL,1,,,
YJLRLE,YJRLE,0.909090909,,,
BRMKTJ,BRMKTJ,1,,,
FXFCME,FXCME,0.909090909,,,
JYNGAJ,JYNGAJ,1,,,
GGJKBH,GGJKBH,1,,,
BBBUUB,BBBUUB,1,,,
FCUMGT,FCJMCT,0.666666667,,,
NXAFET,NXAFET,1,,,
KCPECK,KCBECK,0.833333333,,,
PHTPNE,PHTPNE,1,,,
PYBGMM,PYBGMM,1,,,
CCXBKL,CCXBKL,1,,,
AGHHLT,AGKHLT,0.833333333,,,
KHRKXJ,KHVRKXJ,0.923076923,,,
GURFTR,CURFTR,0.833333333,,,
TANXYP,TANXYP,1,,,
RGUKUT,RGUKUT,1,,,
RGELCC,RGELCC,1,,,
PFPXNP,PPXNP,0.909090909,,,
JRARPT,JRARPT,1,,,
HHRXBP,HHVRXBP,0.923076923,,,
PCPHUT,PCHUT,0.909090909,,,
HLFHGK,HLHK,0.8,,,
TGYFJK,TGYFJK,1,,,
FPJMMR,FPJMMMR,0.923076923,,,
FUXEKK,FUXEKK,1,,,
GXGLAX,CXGVAX,0.666666667,,,
XNULPP,XJLPP,0.727272727,,,
CTLXYB,CTLXYB,1,,,
FTENNB,FTENVVB,0.769230769,,,
KAJEJA,KAJEJA,1,,,
FPKGTR,FPKGTR,1,,,
BBGEGN,BBGECN,0.833333333,,,
XTTUYJ,XUYJ,0.8,,,
RTPRTM,RTRTM,0.909090909,,,
LJCJNM,LJCJNM,1,,,
HXNHME,HXNHME,1,,,
HTJJXK,HTJJXK,1,,,
HLARUB,HLARUB,1,,,
LPLBUB,LPLBUB,1,,,
UYJHBM,UYJHBM,1,,,
ETEGEG,ETEGEG,1,,,
URCHNG,URCHNG,1,,,
JNRYRT,JVRYRT,0.833333333,,,
XMGJFJ,XMGJFJ,1,,,
JNBAEK,JVBAEK,0.833333333,,,
NCFRTK,NCFRTK,1,,,
JBCAMB,JBCAMB,1,,,
MPPECR,MPBECR,0.833333333,,,
CUTBHN,CUTBHN,1,,,
CNHFYE,CVFYE,0.727272727,,,
PGXCAJ,PGXCAJ,1,,,
GEJMYB,GEJMYB,1,,,
XXERAP,XXERAP,1,,,
YELURL,YELURL,1,,,
MTARUL,MTARUL,1,,,
CCXCBX,CCXCBX,1,,,
PXABNB,PXABNB,1,,,
UTMHUC,UYMHUC,0.833333333,,,
MBTCFA,MBTCFA,1,,,
MGKXER,MGKXER,1,,,
LMHXGR,LMMXCR,0.666666667,,,
YRHKXR,YRKXR,0.909090909,,,
CLMTYN,CLMTYN,1,,,
GCPRFL,GCRFL,0.909090909,,,
CGAPLG,CGAPLG,1,,,
GHUMEE,GHJMMEE,0.769230769,,,
JCCEYX,JCCEYX,1,,,
LLUXRK,LLUXRK,1,,,
TUNUJU,TUNVUJU,0.923076923,,,
PKJRTM,PKJRTM,1,,,
BEYPNR,BEYPNR,1,,,
PNLHCG,PVHCG,0.727272727,,,
RTFHAP,RTHAP,0.909090909,,,
NMJMRM,NMJMVRM,0.923076923,,,
XARYHR,XARYHR,1,,,
CUJBBY,CUJBBY,1,,,
BTYXHY,BTYXHY,1,,,
YPLGXN,YPLGXN,1,,,
HNBNFP,HBVP,0.6,,,
TLAHPY,TLAHVPY,0.923076923,,,
JTCJTL,JTCJTL,1,,,
NXFHEB,NXFHEB,1,,,
CBTKMB,CBTKMB,1,,,
UFFNXH,UFFXH,0.909090909,,,
NFTXJN,NFTXJN,1,,,
FEKTFH,FETTFH,0.833333333,,,
XLTXXE,XLTXXE,1,,,
GNGFRL,GNGFRL,1,,,
RKCLXM,RKCLXM,1,,,
PTJGNY,PTJGNY,1,,,
EJPTGJ,EJTCJ,0.727272727,,,
RKHBXY,RKBXY,0.909090909,,,
MGPBMN,IMGBMM,0.666666667,,,
ALECKG,ALECKG,1,,,
CRNTLL,CRNTLL,1,,,
KRRUCJ,KRRUCJ,1,,,
TJKXET,TJTXET,0.833333333,,,
LJMLGA,LJMLGA,1,,,
LHJUXM,LHJUXM,1,,,
HECBRM,HECBRM,1,,,
CNLARR,CVARR,0.727272727,,,
LURKXU,LJRKXU,0.833333333,,,
HNBECR,HVBECR,0.833333333,,,
KCYEKF,KCYEKF,1,,,
XLCYGP,XLCYGP,1,,,
RBMYHY,RBMYHY,1,,,
RXLMXU,RXLMXU,1,,,
YPTGGX,YPTGGX,1,,,
TBBFMP,TBBFMP,1,,,
TUEMKB,TUEMKB,1,,,
AJJLKR,AJJLKR,1,,,
UYGCEU,UYCEU,0.909090909,,,
FTMXLU,FTZMXLU,0.923076923,,,
PNAFRA,PNAFRA,1,,,
LMRNHJ,LMRVHJ,0.833333333,,,
JKUUJT,JKJUJT,0.833333333,,,
BGUYFP,BGJYFP,0.833333333,,,
LKMCLG,LKMCLG,1,,,
UFLEMP,UFLEMP,1,,,
GMGXYP,GMBXYP,0.833333333,,,
RHBAKR,RHBAKR,1,,,
TAGJGA,TACJGA,0.833333333,,,
TLBHMX,TLBHMMX,0.923076923,,,
HXFKPT,HXFKPT,1,,,
TTUKFG,TTUKFG,1,,,
TJLBRN,TJJBRN,0.833333333,,,
JHJBTY,JHJBTY,1,,,
RUALXF,RUALXF,1,,,
YKENRX,YKEVRX,0.833333333,,,
HEEEPM,HEEEPM,1,,,
JCKTAG,JCKTAG,1,,,
MHKTHJ,MHVTHJ,0.833333333,,,
MMFCJK,MMMFCJK,0.923076923,,,
BXYKEC,BXYKEC,1,,,
EXKKCK,EXKKCK,1,,,
BGFJNL,BGFJWL,0.833333333,,,
UKMRNG,UKMRNC,0.833333333,,,
FJJRYU,FJJRYU,1,,,
AFCUFA,AFCUFA,1,,,
BEEAHL,BEEAHL,1,,,
CUETFC,CUETFC,1,,,
TERKTK,TERKTK,1,,,
BJMLKE,BJLKE,0.909090909,,,
MKPMLE,MKDMLE,0.833333333,,,
GGLNGR,GGLNGR,1,,,
JNKRBL,JVTRBL,0.666666667,,,
LXJPEN,LXJPEN,1,,,
AYUTCU,AYJTCU,0.833333333,,,
BLHRAF,BLHRAF,1,,,
BCTNPF,BCTVPF,0.833333333,,,
LTUCXA,LTJCXA,0.833333333,,,
ANENGM,AVENGM,0.833333333,,,
TXFXFL,TXFXFL,1,,,
LJAHLP,LJAHLP,1,,,
CYCPMX,CYCPMX,1,,,
PBAENB,PBAENB,1,,,
UPNKMY,UPNKMY,1,,,
MFHJRH,MFHJRH,1,,,
CLPPAY,CLPAY,0.909090909,,,
BTRFRX,BTRFRX,1,,,
KYRHCU,KYRHCU,1,,,
GJERXL,CJERXL,0.833333333,,,
BPLLMU,BPLLMU,1,,,
AHAFGT,AHAHCT,0.666666667,,,
CPCTPE,CPCTPE,1,,,
RUAMML,RUAMMML,0.923076923,,,
PPGAME,PPCAME,0.833333333,,,
ABXTXM,ABXTXM,1,,,
MPFGKB,MPGKB,0.909090909,,,
CAKCJE,CAKCJE,1,,,
RTEFKL,RTEFKL,1,,,
FMLLJN,FMLLJN,1,,,
NKMKTN,NKMKTN,1,,,
HYKNFT,HYKVFT,0.833333333,,,